title,artist,pop_today,track_id,url
New Flame (feat. Usher & Rick Ross),Chris Brown,69,3fBbfrWZUuWWrMQXFISr7N,https://open.spotify.com/track/3fBbfrWZUuWWrMQXFISr7N
Rather Be (feat. Jess Glynne),Clean Bandit,62,0am001WwFBVGDGLwRh3ixi,https://open.spotify.com/track/0am001WwFBVGDGLwRh3ixi
First,Cold War Kids,66,3omXshBamrREltcf24gYDC,https://open.spotify.com/track/3omXshBamrREltcf24gYDC
Magic,Coldplay,71,23khhseCLQqVMCIT1WMAns,https://open.spotify.com/track/23khhseCLQqVMCIT1WMAns
A Sky Full of Stars,Coldplay,85,0FDzzruyVECATHXKHFs9eJ,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ
Bad (feat. Vassy) - Radio Edit,David Guetta,51,06dT0EYXrhRQV1MsvWhNGv,https://open.spotify.com/track/06dT0EYXrhRQV1MsvWhNGv
Lovers on the Sun (feat. Sam Martin),David Guetta,49,2i2zYdN4KCkTCDscdMYr87,https://open.spotify.com/track/2i2zYdN4KCkTCDscdMYr87
Latch,Disclosure,67,1DunhgeZSEgWiIYbHqXl0c,https://open.spotify.com/track/1DunhgeZSEgWiIYbHqXl0c
Turn Down for What,DJ Snake,68,67awxiNHNyjMXhVgsHuIrs,https://open.spotify.com/track/67awxiNHNyjMXhVgsHuIrs
You Know You Like It,DJ Snake,70,57kR5SniQIbsbVoIjjOUDa,https://open.spotify.com/track/57kR5SniQIbsbVoIjjOUDa
I Got U,Duke Dumont,58,69gQgkobVW8bWjoCjBYQUd,https://open.spotify.com/track/69gQgkobVW8bWjoCjBYQUd
Cool Kids,Echosmith,70,13P5rwmk2EsoFRIz9UCeh9,https://open.spotify.com/track/13P5rwmk2EsoFRIz9UCeh9
Don't,Ed Sheeran,69,1huvTbEYtgltjQRXzrNKGi,https://open.spotify.com/track/1huvTbEYtgltjQRXzrNKGi
Sing,Ed Sheeran,66,6K8qKeWo5MsFED7wCR6Kop,https://open.spotify.com/track/6K8qKeWo5MsFED7wCR6Kop
Ugly Heart,G.R.L.,57,3qqho4PnTn3zlMPBzWhFFD,https://open.spotify.com/track/3qqho4PnTn3zlMPBzWhFFD
Budapest,George Ezra,82,2ixsaeFioXJmMgkkbd4uj1,https://open.spotify.com/track/2ixsaeFioXJmMgkkbd4uj1
Blame It on Me,George Ezra,71,2vzMWO0T008m86yDnXwkII,https://open.spotify.com/track/2vzMWO0T008m86yDnXwkII
Ready For Your Love,Gorgon City,42,5wGLQvq6JoxYZX7V3ymPS5,https://open.spotify.com/track/5wGLQvq6JoxYZX7V3ymPS5
Fancy,Iggy Azalea,66,3oiMJQAWVaxSubJ7b2VUtX,https://open.spotify.com/track/3oiMJQAWVaxSubJ7b2VUtX
Black Widow,Iggy Azalea,64,7pNC5ZIKtwUK0ReSpM3P9f,https://open.spotify.com/track/7pNC5ZIKtwUK0ReSpM3P9f
Talk Dirty (feat. 2 Chainz),Jason Derulo,64,6g6A7qNhTfUgOSH7ROOxTD,https://open.spotify.com/track/6g6A7qNhTfUgOSH7ROOxTD
Wiggle (feat. Snoop Dogg),Jason Derulo,54,2sLwPnIP3CUVmIuHranJZU,https://open.spotify.com/track/2sLwPnIP3CUVmIuHranJZU
Trumpets,Jason Derulo,59,5KONnBIQ9LqCxyeSPin26k,https://open.spotify.com/track/5KONnBIQ9LqCxyeSPin26k
Don't Tell 'Em,Jeremih,72,0Dc7J9VPV4eOInoxUiZrsL,https://open.spotify.com/track/0Dc7J9VPV4eOInoxUiZrsL
Bang Bang,Jessie J,78,0puf9yIluy9W0vpMEUoAnN,https://open.spotify.com/track/0puf9yIluy9W0vpMEUoAnN
All of Me,John Legend,83,3U4isOIWM3VvDubwSI3y7a,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
Not a Bad Thing,Justin Timberlake,52,3nB82yGjtbQFSU0JLAwLRH,https://open.spotify.com/track/3nB82yGjtbQFSU0JLAwLRH
Dark Horse,Katy Perry,79,4jbmgIyjGoXjY01XxatOx6,https://open.spotify.com/track/4jbmgIyjGoXjY01XxatOx6
Show Me (feat. Chris Brown),Kid Ink,67,4q6dqyGM25sKFU8nYAGRe4,https://open.spotify.com/track/4q6dqyGM25sKFU8nYAGRe4
Hideaway,Kiesza,63,51tUT1gHE30GQPhn1agudM,https://open.spotify.com/track/51tUT1gHE30GQPhn1agudM
Jealous,Labrinth,70,4G92yYrUs0cvY7G41YRI0z,https://open.spotify.com/track/4G92yYrUs0cvY7G41YRI0z
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,75,5fnA9mkIfScSqHIpeDyvck,https://open.spotify.com/track/5fnA9mkIfScSqHIpeDyvck
Team,Lorde,74,3G6hD9B2ZHOsgf4WfNu7X1,https://open.spotify.com/track/3G6hD9B2ZHOsgf4WfNu7X1
Rude,MAGIC!,82,6RtPijgfPKROxEzTHNRiDp,https://open.spotify.com/track/6RtPijgfPKROxEzTHNRiDp
Maps,Maroon 5,82,4gbVRS8gloEluzf0GzDOFc,https://open.spotify.com/track/4gbVRS8gloEluzf0GzDOFc
Animals,Maroon 5,79,2bL2gyO6kBdLkNSkxXNh6x,https://open.spotify.com/track/2bL2gyO6kBdLkNSkxXNh6x
Sugar,Maroon 5,78,2iuZJX9X9P0GKaE93xcPjk,https://open.spotify.com/track/2iuZJX9X9P0GKaE93xcPjk
