title,artist,top_genre,year_released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top_year,artist_type,pop_today,track_id,url,streams
Wish You Were Mine - Radio Edit,Philip George,deep groove house,2014,2020‑06‑19,123,83,65,-4,10,41,178,1,3,70,2015,Solo,63,412luShbmlgqqgYFStIB1s,https://open.spotify.com/track/412luShbmlgqqgYFStIB1s,218592652.00
Without Me,Halsey,dance pop,2018,2020‑06‑22,136,49,75,-7,9,53,202,30,7,82,2019,Solo,69,5p7ujcrUXASCNwRaWNHR1C,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2147940628.00
Work,Rihanna,barbadian pop,2016,2020‑06‑08,92,53,73,-6,9,56,219,8,9,80,2016,Solo,76,72TFWvU3wUYdUuxejTTIzt,https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt,1474162925.00
Work Bitch,Britney Spears,dance pop,2013,2020‑06‑11,128,82,63,-7,7,85,248,16,16,76,2013,Solo,66,3KliPMvk1EvFZu9cvkj8p1,https://open.spotify.com/track/3KliPMvk1EvFZu9cvkj8p1,347222305.00
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,2020‑06‑08,105,59,80,-6,6,59,214,10,4,81,2016,Band/Group,75,4tCtwWceOPWzenK2HAIJSb,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,1484873147.00
Wow.,Post Malone,dfw rap,2019,2020‑06‑22,100,54,83,-7,10,39,150,14,21,83,2019,Solo,77,7xQAfvXzm3AkraOtGPWIZg,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,1763443773.00
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,2022‑02‑17,123,97,62,-3,20,30,208,5,13,51,2010,Solo,49,61HQWI1Woxup7CnGwVUsdI,https://open.spotify.com/track/61HQWI1Woxup7CnGwVUsdI,96208349.00
XO Tour Llif3,Lil Uzi Vert,melodic rap,2017,2021‑01‑28,155,75,73,-6,11,40,183,0,23,86,2017,Solo,81,7GX5flRQZVHRAGd6B4TmDO,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2261584437.00
YOUTH,Troye Sivan,australian pop,2015,2020‑06‑19,92,74,63,-4,8,59,185,6,4,70,2015,Solo,58,1cOyWWUr3oXJIxY0AjJEx9,https://open.spotify.com/track/1cOyWWUr3oXJIxY0AjJEx9,667863324.00
Yeah 3x,Chris Brown,dance pop,2011,2020‑06‑16,130,88,71,-3,9,70,242,0,4,74,2011,Solo,66,2QtxlzvSBONjs1bDC34ixs,https://open.spotify.com/track/2QtxlzvSBONjs1bDC34ixs,262566431.00
Years,Alesso,dance pop,2013,2020‑06‑22,128,82,37,-6,17,32,195,0,8,53,2012,Solo,42,5pVk15sR3OgIeKBKqG9jWw,https://open.spotify.com/track/5pVk15sR3OgIeKBKqG9jWw,103049777.00
